"","date","depth","mean_do"
"673",2020-01-16,14.5,9.44080208325
"674",2020-01-16,15,9.1856666665
"675",2020-01-16,15.5,8.93053124975
"676",2020-01-16,16,8.675395833
"677",2020-01-16,16.5,8.202098958
"678",2020-01-16,17,7.728802083
"679",2020-01-16,17.5,7.255505208
"680",2020-01-16,18,6.782208333
"681",2020-01-16,18.5,6.382330729
"682",2020-01-16,19,5.982453125
"683",2020-01-16,19.5,5.582575521
"684",2020-01-16,20,5.182697917
"685",2020-01-16,20.5,3.902934896
"686",2020-01-16,21,2.623171875
"687",2020-01-16,21.5,1.343408854
"688",2020-01-16,22,0.063645833
"689",2020-01-17,1,11.0962962962963
"690",2020-01-17,1.5,10.8903703703704
"691",2020-01-17,2,10.6844444444444
"692",2020-01-17,2.5,10.5778422067407
"693",2020-01-17,3,10.471239969037
"694",2020-01-17,3.5,10.3646377313333
"695",2020-01-17,4,10.37071875
"696",2020-01-17,4.5,10.4374921875
"697",2020-01-17,5,10.504265625
"698",2020-01-17,5.5,10.5710390625
"699",2020-01-17,6,10.6378125
"700",2020-01-17,6.5,10.34888541675
"701",2020-01-17,7,10.0599583335
"702",2020-01-17,7.5,9.77103125025
"703",2020-01-17,8,9.482104167
"704",2020-01-17,8.5,9.71543229275
"705",2020-01-17,9,9.9487604185
"706",2020-01-17,9.5,10.18208854425
"707",2020-01-17,10,10.41541667
"708",2020-01-17,10.5,10.11492708575
